"ヴュルツブルク",
"ボーフム",
"ゲルリッツ",
"ギーセン",
"アウクスブルク",
"ニュルンベルク",
"ブランデンブルク・アン・デア・ハーフェル",
"ホーフ",
"ホイエルスヴェルダ",
"ゲーラ",
"ハイルブロン",
"シュトラールズント",
"ランツフート",
"カウフボイレン",
"ピルマゼンス",
"パッサウ",
"ケーテン",
"レックリングハウゼン",
"オラニエンブルク",
"ドレスデン",
"ケルン",
"バンベルク",
"フライジンク",
"フルダ",
"コトブス",
"エアフルト",
"ハノーファー",
"ヴィースバーデン",
"プラウエン",
"メミンゲン",
"ダルムシュタット",
"ヘルネ",
"アイスレーベン",
"レバークーゼン",
"プフォルツハイム",
"シュヴェリーン",
"ズール",
"マインツ",
"ヴィルヘルムスハーフェン",
"オルデンブルク",
"ルートヴィヒスハーフェン",
"ザルツギッター",
"シュトゥットガルト",
"ハンブルク",
"ツヴァイブリュッケン",
"アイゼナハ",
"デルメンホルスト",
"コーブルク",
"オーバーハウゼン
"フリードリヒスハーフェン",
"アンスバッハ",
"ヴッパータール",
"マクデブルク",
"ライプツィヒ",
"メンヒェングラートバッハ",
"フランクフルト・アム・マイン",
"ミュルハイム・アン・デア・ルール",
"ダッハウ",
"ケムニッツ",
"ブレーメン",
"ローゼンハイム",
"ツェレ",
"ザールブリュッケン",
"ノイミュンスター",
"ハーゲン",
"オッフェンバッハ",
"ボトロップ",
"コブレンツ",
"ヴォルムス",
"デュッセルドルフ",
"デュイスブルク",
"フランクフルト・アン・デア・オーダー",
"ミュンスターウルム",
"ノイブランデンブルク",
"フュルト",
"ベルリン",
"クレーフェ",
"クヴェードリンブルク",
"カイザースラウテルン",
"シュパイアー",
"アシャッフェンブルク",
"フレンスブルク",
"グライフスヴァルト",
"レムシャイト",
"ゾーリンゲン",
"ビーレフェルト",
"デーリッチュ",
"ヴォルフスブルク",
"エムデン",
"インゴルシュタット",
"ハレクレーフェルト",
"ヒルデスハイム",
"パーダーボルン",
"レーゲンスブルク",
"バーデン＝バーデン",
"ロストック",
"ブラウンシュヴァイク",
"ツヴィッカウ",
"オスナブリュック",
"エアランゲン",
"マンハイム",
"イェーナ",
"ナウムブルク",
"ゲルゼンキルヒェン",
"ブレーマーハーフェン"